         9712416 function calls (9098865 primitive calls) in 55.903 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
19200/400    0.034    0.000   42.692    0.107 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\module.py:1732(_wrapped_call_impl)
19200/400    0.056    0.000   42.690    0.107 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\module.py:1740(_call_impl)
      200    0.008    0.000   41.642    0.208 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\src\gnn\gnn_model.py:23(forward)
      400    0.045    0.000   31.868    0.080 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\gcn_conv.py:227(forward)
      400    0.033    0.000   28.588    0.071 C:\Users\ompar\AppData\Local\Temp\torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_4oim0vi2.py:116(propagate)
     1200    0.019    0.000   15.821    0.013 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\utils\_scatter.py:15(scatter)
     1200   15.720    0.013   15.720    0.013 {method 'scatter_add_' of 'torch._C.TensorBase' objects}
      600    0.005    0.000   15.472    0.026 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:577(aggregate)
      600    0.004    0.000   15.464    0.026 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\experimental.py:114(wrapper)
      600    0.006    0.000   15.449    0.026 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\aggr\base.py:101(__call__)
      600    0.002    0.000   15.430    0.026 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\aggr\basic.py:19(forward)
      600    0.003    0.000   15.429    0.026 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\aggr\base.py:173(reduce)
      600    0.003    0.000   10.931    0.018 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:263(_index_select)
      600    0.003    0.000   10.928    0.018 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:269(_index_select_safe)
      600   10.925    0.018   10.925    0.018 {method 'index_select' of 'torch._C.TensorBase' objects}
      400   10.760    0.027   10.772    0.027 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\gcn_conv.py:270(message)
      200    0.012    0.000    9.682    0.048 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\pool\sag_pool.py:100(forward)
      200    0.008    0.000    8.724    0.044 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\graph_conv.py:77(forward)
      200    0.009    0.000    8.686    0.043 C:\Users\ompar\AppData\Local\Temp\torch_geometric.nn.conv.graph_conv_GraphConv_propagate_n679x9ue.py:116(propagate)
      400    0.012    0.000    7.484    0.019 C:\Users\ompar\AppData\Local\Temp\torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_4oim0vi2.py:34(collect)
      200    0.008    0.000    3.475    0.017 C:\Users\ompar\AppData\Local\Temp\torch_geometric.nn.conv.graph_conv_GraphConv_propagate_n679x9ue.py:34(collect)
      400    0.899    0.002    3.171    0.008 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\conv\gcn_conv.py:45(gcn_norm)
     6148    2.057    0.000    2.067    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
78111/60824    0.037    0.000    1.955    0.000 {built-in method builtins.next}
